Title,Authors
Attention-driven Factor Model for Explainable Personalized Recommendation,"Jingwu Chen (Institute of Computing Technology, Chinese Academy of Sciences); Fuzhen Zhuang (Institute of Computing Technology, Chinese Academy of Sciences); Xin Hong (Institute of Computing Technology, Chinese Academy of Sciences); Xiang Ao (Institute of Computing Technology, Chinese Academy of Sciences); Xing Xie (Microsoft); Qing He (Institute of Computing Technology, Chinese Academy of Sciences)"
IRevalOO: An Object Oriented Framework for Retrieval Evaluation,Kevin Roitero (University of Udine); Eddy Maddalena (University of Southampton); Ponte Yannick (University of Udine); Stefano Mizzaro (University of Udine)
Translating Representations of Knowledge Graphs with Neighbors,Chun-Chih Wang (National Taiwan University); Pu-Jen Cheng (National Taiwan University)
Index Compression for BitFunnel Query Processing,Xinyu Liu (Nankai University); Zhaohua Zhang (Nankai University); Boran Hou (Nankai University); Rebecca Stones (Nankai University); Gang Wang (Nankai University); Xiaoguang Liu (Nankai University)
CA-LSTM: Search Task Identification with Context Attention based LSTM,Cong Du (Sogou inc.); Peng Shu (Sogou Inc.); Yong Li (Sogou Inc.)
On the Volatility of Commercial Search Engines and its Impact on Information Retrieval Research,Jimmy Jimmy (Queensland University of Technology); Guido Zuccon (Queensland University of Technology); Gianluca Demartini (The University of Queensland)
Large-Scale Image Retrieval with Elasticsearch,Giuseppe Amato (ISTI-CNR); Paolo Bolettieri (ISTI-CNR); Fabio Carrara (ISTI CNR); Fabrizio Falchi (ISTI-CNR); Claudio Gennaro (ISTI – CNR)
Deep Semantic Text Hashing with Weak Supervision,Suthee Chaidaroon (Santa Clara University); Travis Ebesu (Santa Clara University); Yi Fang (Santa Clara University)
Who is the Mr. Right for Your Brand? — Discovering Brand Key Assets via Multi-modal Asset-aware Projection,Yang Liu (Hong Kong Baptist University); Tobey H. Ko (The University of Hong Kong); Zhonglei Gu (Hong Kong Baptist University)
Sogou-QCL: A New Dataset with Click Relevance Label,Yukun Zheng (Tsinghua University); Zhen Fan (Tsinghua University); Yiqun Liu (Tsinghua University); Cheng Luo (Tsinghua University); Shaoping Ma (Tsinghua University)
A Co-Memory Network for Multimodal Sentiment Analysis,"Nan Xu (Institute of Automation, Chinese Academy of Sciences); Wenji Mao (Institute of Automation, Chinese Academy of Sciences); Guandan Chen (Institute of Automation, Chinese Academy of Sciences)"
Investigating User Perception of Gender Bias in Image Search: The Role of Sexism,Jahna Otterbacher (Open University of Cyprus); Alessandro Checco (The University of Sheffield); Gianluca Demartini (The University of Queensland); Paul Clough (The University of Sheffield)
Killing Two Birds With One Stone: Concurrent Ranking of Tags and Comments of Social Images,Boon-Siew Seah (Nanyang Technological University); Aixin Sun (Nanyang Technological University); Sourav S Bhowmick (Nanyang Technological University)
Imagination Based Sample Construction for Zero-Shot Learning,Gang Yang (Renmin university of China); Jinlu Liu (Renmin university of China); Xirong Li (Renmin University of China)
Towards Designing Better Session Search Evaluation Metrics,Mengyang Liu (Tsinghua University); Yiqun Liu (Tsinghua University); Jiaxin Mao (Tsinghua University); Cheng Luo (Tsinghua University); Shaoping Ma (Tsinghua University)
"Predicting Contradiction Intensity: Low, Strong or Very Strong?","Ismail Badache (FEG/LIS, Aix-Marseille Université); Sebastien Fournier (FEG/LIS, Aix-Marseille Université); Adrian-Gabriel Chifu (FEG/LIS, Aix-Marseille Université)"
A Large-Scale Study of Mobile Search Examination Behavior,Xiaochuan Wang (Tsinghua University); Ning Su (Tsinghua University); Zexue He (Beijing Normal University); Yiqun Liu (Tsinghua University); Shaoping Ma (Tsinghua University)
Ranking Without Learning: Towards Historical Relevance-based Ranking of Social Images,Min Min Chew (Nanyang Technological University); Sourav S Bhowmick (Nanyang Technological University); Adam Jatowt (Kyoto University)
Parameterizing Kterm Hashing,Dominik Wurzer (University of Wuhan); Yumeng Qin (University of Wuhan)
Technology Assisted Reviews: Finding the last few relevant documents by asking questions to the user,Jie Zou (University of Amsterdam); Dan Li (University of Amsterdam); Evangelos Kanoulas (University of Amsterdam)
An Information Retrieval Framework for Contextual Suggestion Based on Heterogeneous Information Network Embeddings,Dominic Seyler (University of Illinois at Urbana–Champaign); Praveen Chandar (Spotify); Matthew Davis (IBM)
Entire Space Multi-Task Model: An Effective Approach for Estimating Post-Click Conversion Rate,Xiao Ma (Alibaba Group); Liqin Zhao (Alibaba Group); Guan Huang (Alibaba Group); Zhi Wang (Alibaba Group); Zelin Hu (Alibaba Group); Xiaoqiang Zhu (Alibaba Group); Kun Gai (Alibaba Group)
How Much is Too Much? Whole Session vs. First Query Behaviors in Task Prediction,Matthew Mitsui (Rutgers University); Jiqun Liu (Rutgers University); Chirag Shah (Rutgers University)
Toward an Interactive Patent Retrieval Framework based on Distributed Representations,Walid Shalaby (UNC Charlotte); Wlodek Zadrozny (UNC Charlotte)
Consistency and Variation in Kernel Neural Ranking Model,Mary Arpita Pyreddy (Carnegie Mellon University); Varshini Ramaseshan (Carnegie Mellon University); Narendra Nath Joshi (Carnegie Mellon University); Zhuyun Dai (Carnegie Mellon University); Chenyan Xiong (Carnegie Mellon University); Jamie Callan (Carnegie Mellon University); Zhiyuan Liu (Tsinghua University)
Effectiveness Evaluation with a Subset of Topics: A Practical Approach,Kevin Roitero (University of Udine); Michael Soprano (University of Udine); Stefano Mizzaro (University of Udine)
Locality-adapted Kernel Densities for Tweet Localization,Özer Özdikis (Norwegian University of Science and Technology); Heri Ramampiaro (Norwegian University of Science and Technology); Kjetil Nørvåg (Norwegian University of Science and Technology)
Related or Duplicate: Distinguishing Similar CQA Questions via Convolutional Neural Networks,Wei Emma Zhang (Macquarie University); Zhejun Tang (Ningxia University); Quan Z. Sheng (Macquarie University); Wenjie Ruan (University of Oxford)
Review Sentiment-Guided Scalable Deep Recommender System,Dongmin Hyun (POSTECH); Chanyoung Park (POSTECH); Min-Chul Yang (NAVER Corp.); Ilhyeon Song (NAVER Corp.); Jung-Tae Lee (NAVER Corp.); Hwanjo Yu (POSTECH)
Learning to Detect Pathogenic Microorganism of Community-acquired Pneumonia,Wenwei Liang (East China Normal University); Wei Zhang (East China Normal University); Bo Jin (East China Normal University); Jiangjiang Xu (Shanghai Children’s Hospital); Linhua Shu (Shanghai Children’s Hospital); Hongyuan Zha (Georgia Institute of Technology)
Towards Distributed Pairwise Ranking using Implicit Feedback,Mohsan Jameel (University of Hildesheim); Nicolas Schilling (University of Hildesheim); Lars Schmidt-Thieme (University of Hildesheim)
Procrastination is the Thief of Time: Evaluating the Effectiveness of Proactive Search Systems,"Procheta Sen (Dublin City University); Debasis Ganguly (IBM Research Lab, Dublin); Gareth Jones (Dublin City University)"
Convolution-based Memory Network for Aspect-based Sentiment Analysis,"Chuang Fan (Shenzhen Graduate School, Harbin Institute of Technology); Qinghong Gao (Shenzhen Graduate School, Harbin Institute of Technology); Jiachen Du (Shenzhen Graduate School, Harbin Institute of Technology); Lin Gui (Aston university); Ruifeng Xu (Shenzhen Graduate School, Harbin Institute of Technology); Kam-Fai Wong (The Chinese University of Hong Kong)"
Semantic Location in Email Query Suggestion,John Foley (University of Massachusetts Amherst); Mingyang Zhang (Google); Michael Bendersky (Google); Marc Najork (Google)
GraphCAR: Content-aware Multimedia Recommendation with Graph Autoencoder,"Qidi Xu (Center for Future Media, University of Electronic Science and Technology of China); Fumin Shen (Center for Future Media, University of Electronic Science and Technology of China); Li Liu (School of Computing Sciences, University of East Anglia); Heng Tao Shen (Center for Future Media, University of Electronic Science and Technology of China)"
WikiPassageQA: A Benchmark Collection for Research on Non-factoid Answer Passage Retrieval,Daniel Cohen (University of Massachusetts Amherst); Liu Yang (University of Massachusetts Amherst); Bruce Croft (University of Massachusetts Amherst)
Beyond Pooling,Gordon Cormack (University of Waterloo); Maura Grossman (University of Waterloo)
Testing the Cluster Hypothesis with Focused and Graded Relevance Judgments,"Eilon Sheetrit (Technion – Israel Institute of Technology); Anna Shtok (Technion – Israel Institute of Technology); Oren Kurland (Technion, Israel Institute of Technology); Igal Shprincis (Microsoft, Herzliya, Israel)"
Query Performance Prediction Focused on Summarized Letor Features,"Adrian-Gabriel Chifu (LSIS – UMR 7296 CNRS, Aix-Marseille Université); Léa Laporte (INSA Lyon – LIRIS); Josiane Mothe (Institut de Recherche en Informatique de Toulouse); Md Zia Ullah (IRIT)"
A Study of Per-Topic Variance on System Comparison,Meng Yang (Tianjin University); Peng Zhang (Tianjin University); Dawei Song (The Open University)
Multi-level Abstraction Convolutional Model with Weak Supervision for Information Retrieval,Yifan Nie (University of Montreal); Alessandro Sordoni (Maluuba – Microsoft); Jian-Yun Nie (University of Montreal)
Analyzing and Characterizing User Intent in Information-seeking Conversations,Chen Qu (University of Massachusetts Amherst); Liu Yang (University of Massachusetts Amherst); Bruce Croft (University of Massachusetts Amherst); Johanne R Trippas (RMIT University); Yongfeng Zhang (Rutgers University); Minghui Qiu (Alibaba Group)
Online Job Search: Study of Users’ Search Behavior using Search Engine Query Logs,"Behrooz Mansouri (University of Tehran); Mohammad Sadegh Zahedi (School of Electrical and Computer Engineering,University of Tehran); Ricardo Campos (Polytechnic Institute of Tomar); Mojgan Farhoodi (ITRC)"
Identifying and Modeling Information Resumption Behaviors in Cross-Device Search,"Dan Wu (School of Information Management, Wuhan University); Jing Dong (School of Information Management, Wuhan University); Yuan Tang (School of Information Management, Wuhan University)"
Optimizing Query Evaluations using Reinforcement Learning for Web Search,Corby Rosset (Microsoft); Damien Jose (Microsoft); Gargi Ghosh (Microsoft); Bhaskar Mitra (Microsoft); Saurabh Tiwary (Microsoft)
SAAN: A Sentiment-Aware Attention Network for Sentiment Analysis,"Zeyang Lei (Tsinghua University); Yujiu Yang (Tsinghua University); Min Yang (Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences)"
An Attribute-aware Neural Attentive Model for Next Basket Recommendation,"Ting Bai (School of information, Renmin University of China); Jian-Yun Nie (University of Montreal); Xin Zhao (Renmin University of China, School of Information); Yutao Zhu (Renmin University of China, School of Information); Pan Du (University of Montreal); Ji-Rong Wen (Renmin University of China)"
Modeling multidimensional user relevance in IR using vector spaces,"Sagar Uprety (The Open University, Milton Keynes, United Kingdom); Yi Su (School of Computer Science and Technology, Tianjin University, China); Dawei Song (The Open University, Milton Keynes, United Kingdom); Jingfei Li (National Computer Network Emergency Response Technical Team/Coordination Center of China)"
Are we on the Right Track? Integrating Theoretical and Empirical Methodologies for Information Retrieval,Enrique Amigó (National Distance Education University); Stefano Mizzaro (University of Udine); Hui Fang (University of Delaware); Chengxiang Zhai (University of Illinois at Urbana-Champaign)
Fine-Grained Information Identification in Health Related Posts,Hamed Khanpour (University of North Texas); Cornelia Caragea (Kansas State University)
Quantitative Information Extraction From Social Data,Omar Alonso (Microsoft); Thibault Sellam (Columbia University)
Measuring Influence on Instagram: a Network-oblivious Approach,Noam Segev (Klear.com); Noam Avigdor (Klear); Eytan Avigdor (Klear)
Characterizing Question Facets for Complex Answer Retrieval,Sean MacAvaney (Georgetown University); Andrew Yates (Max Planck Institute for Informatics); Arman Cohan (Georgetown University); Luca Soldaini (Georgetown University); Kai Hui (SAP SE); Nazli Goharian (Georgetown University); Ophir Frieder (Georgetown University)
Event2Vec: Neural Embeddings for News Events,Vinay Setty (University of Stavanger); Katja Hose (Aalborg University)
Universal Approximation Functions for Fast Learning to Rank,Daniel Cohen (UMASS Amherst); John Foley (University of Massachusetts Amherst); Hamed Zamani (University of Massachusetts Amherst); James Allan (UMass Amherst); Bruce Croft (University of Massachusetts Amherst)
Modeling Mobile User Actions for Purchase Recommendation using Deep Memory Networks,Djordje Gligorijevic (Temple University); Jelena Gligorijevic (Temple University); Aravindan Raghuveer (Facebook); Mihajlo Grbovic (Temple University); Zoran Obradovic (Temple University)
A Test Collection for Coreferent Mention Retrieval,"Rashmi Sankepally (University of Maryland – CP, HLTCOE); Tongfei Chen (Johns Hopkins University, HLTCOE); Benjamin Van Durme (Johns Hopkins University, HLTCOE); Douglas W. Oard (University of Maryland – CP, HLTCOE)"
What Do Users Say to Their TVs? An Analysis of Voice Queries to an Entertainment System,Jinfeng Rao (University of Maryland); Ferhan Ture (Comcast Applied AI Research Lab); Jimmy Lin (University of Waterloo)
Cross Domain Regularization for Neural Ranking Models using Adversarial Learning,Daniel Cohen (University of Massachusetts Amherst); Bhaskar Mitra (Microsoft); Katja Hofmann (Microsoft); Bruce Croft (University of Massachusetts Amherst)
Sanity Check: A Strong Alignment and Information Retrieval Baseline for Question Answering,Vikas Yadav (University of Arizona); Rebecca Sharp (University of Arizona); Mihai Surdeanu (University of Arizona)
Explaining Controversy on Social Media via Stance Summarization,Myungha Jang (University of Massachusetts Amherst); James Allan (University of Massachusetts Amherst)
Identifying Clickbait: A Multi-Strategy Approach Using Neural Networks,"Yash Kumar Lal (Manipal Institute of Technology, Manipal); Vaibhav Kumar (International Institute of Information Technology, Hyderabad); Dhruv Khattar (International Institute of Information Technology, Hyderabad); Siddharth Gairola (International Institute of Information Technology, Hyderabad); Vasudeva Varma (International Institute of Information Technology, Hyderabad)"
Multi-Target Stance Detection via a Dynamic Memory-Augmented Network,"Penghui Wei (Institute of Automation, Chinese Academy of Science); Junjie Lin (Institute of Automation, Chinese Academy of Science); Wenji Mao (Institute of Automation, Chinese Academy of Science)"
Query Performance Prediction and Effectiveness Evaluation Without Relevance Judgments: Two Sides of the Same Coin,"Stefano Mizzaro (Univ Udine); Josiane Mothe (Institut de Recherche en Informatique de Toulouse); Kevin Roitero (Univ Udine); Md Zia Ullah (IRIT, University of Toulouse III – Paul Sabatier)"
A New Term Frequency Normalization Model for Probabilistic Information Retrieval,Fanghong Jian (Central China Normal University); Jimmy Huang (University of York); Jiashu Zhao (University of York); Tingting He (Central China Normal University)
Affective Representations for Sarcasm Detection,Ameeta Agrawal (University of York); Aijun An (University of York)
A User Study on Snippet Generation: Text Reuse vs. Paraphrases,Wei-Fan Chen (Bauhaus-Universität Weimar); Matthias Hagen (Bauhaus-Universität Weimar); Benno Stein (Bauhaus-Universität Weimar); Martin Potthast (Leipzig University)
New Embedded Representations and Evaluation Protocols for Inferring Transitive Relations,Sandeep Subramanian (IIT Bombay); Soumen Chakrabarti (IIT Bombay)
Transparent Tree Ensembles,Alexander Moore (Microsoft); Vanessa Murdock (Microsoft); Yaxiong Cai (Microsoft); Kristine Jones (Microsoft)
A taxonomy of queries for e-commerce search,Mohit Sharma (WalmartLabs); Parikshit Sondhi (walmart labs); Chengxiang Zhai (University of Illinois at Urbana-Champaign); Pranam Kolari (WalmartLabs)
Taxi or Hitchhiking: Predicting Passenger’s Preferred Service on Ride Sharing Platforms,Lingyu Zhang (Didi CHuxing); Wei Ai (University of Michigan); Chuan Yuan (Didi Chuxing); Yuhui Zhang (Didi Chuxing); Jieping Ye (Didi Chuxing)
Towards Intent-Aware Contextual Music Recommendation: Initial Experiments,Sergey Volokhin (Emory University); Eugene Agichtein (Emory University)
Deep Domain Adaptation Based on Multi-layer Joint Kernelized Distance,Sitong Mao (The Hong Kong Polytechnic University); Xiao Shen (University of Cambridge); Fu Lai Chung (The Hong Kong Polytechnic University)
Theoretical Analysis of Interdependent Constraints in Pseudo-Relevance Feedback,Ali Montazeralghaem (university of massachusetts amherst); Hamed Zamani (university of massachusetts amherst); Azadeh Shakery (University of Tehran)
Unsupervised Cross-Lingual Information Retrieval using Monolingual Data Only,Robert Litschko (University of Mannhem); Goran Glavaš (University of Mannhem); Simone Paolo Ponzetto (University of Mannheim); Ivan Vulić (University of Cambridge)
Do Not Pull My Data for Resale: Protecting Data Providers using Data Retrieval Pattern Analysis,"Guosai Wang (Institute for Interdisciplinary Information Sciences, Tsinghua University); Wei Xu (Institute for Interdisciplinary Information Sciences, Tsinghua University); Ling Huang (AHI Fintech Corporation); Shiyang Xiang (AHI Fintech Corporation); Yitao Duan (Netease Youdao Inc.)"
K-plet Recurrent Neural Networks for Sequential Recommendation,"Xiang Lin (University of Chinese Academy of Sciences, Beijing, China); Shuzi Niu (Institute of Software, Chinese Academy of Sciences, Beijing, China); Yiqiao Wang (University of Chinese Academy of Sciences, Beijing, China); Yucheng Li (Institute of Software, Chinese Academy of Sciences, Beijing, China)"
Toward Voice Query Clarification,"Johannes Kiesel (Bauhaus-Universität Weimar); Arefeh Bahrami (Bauhaus-Universität Weimar); Benno Stein (Bauhaus-Universität Weimar); Avishek Anand (L3S Research Center, Hannover); Matthias Hagen (Bauhaus-Universität Weimar)"
A Test Collection for Evaluating Legal Case Law Search,Daniel Locke (Queensland University of Technology); Guido Zuccon (Queensland University of Technology)
Citation Worthiness of Sentences in Scientific Reports,Hamed Bonab (UMass Amherst); Hamed Zamani (UMass Amherst); Erik Learned-Miller (UMass Amherst); James Allan (UMass Amherst)
SearchX: Empowering Collaborative Search Research,Sindunuraga Rikarno Putra (Delft University of Technology); Felipe Moraes (Delft University of Technology); Claudia Hauff (Delft University of Technology)
A/B Testing with APONE,Mónica Marrero (Delft University of Technology); Claudia Hauff (Delft University of Technology)
CoNEREL: Collective Information Extraction in News Articles,Minh C. Phan (Nanyang Technological University); Aixin Sun (Nanyang Technological University)
A2A: Benchmark your Clinical Decision Support Search,Sarvnaz Karimi (CSIRO); Vincent Nguyen (CSIRO); Falk Scholer (RMIT University); Brian Jin (CSIRO); Sara Falamaki (CSIRO)
An Information Retrieval Experiment Framework for Domain Specific Applications,Harrisen Scells (Queensland University of Technology); Daniel Locke (Queensland University of Technology); Guido Zuccon (Queensland University of Technology)
Vote Goat: Conversational Movie Recommendation,Jeffrey Dalton (University of Glasgow); Victor Ajayi (University of Glasgow); Richard Main (University of Glasgow)
LogCanvas: Visualizing Search History Using Knowledge Graphs,Luyan Xu (Renmin University of China); Zeon Trevor Fernando (L3S Research Center and Leibniz Universität Hannover); Xuan Zhou (East China Normal University); Wolfgang Nejdl (L3S Research Center and Leibniz Universität Hannover)
API Caveat Explorer: Surfacing Negative Usages from Practice,Jing Li (Nanyang Technological University); Aixin Sun (Nanyang Technological University); Zhenchang Xing (Australian National University); Lei Han (Nanyang Technological University)
SmartTable: A Spreadsheet Program with Intelligent Assistance,Shuo Zhang (University of Stavanger); Vugar Abdul Zada (University of Stavanger); Krisztian Balog (University of Stavanger)
Interactive Symptom Elicitation for Diagnostic Information Retrieval,Tuukka Ruotsalo (University of Helsinki); Antti Lipsanen (University of Helsinki)
Sover! Social Media Observer,"Asmelash Teka Hadgu (L3S Research Center); Sallam Abualhaija (Interdisciplinary Centre for Security, Reliability and Trust); Claudia Niederée (L3S Research Center)"
Combining Terrier with Apache Spark to create agile experimental information retrieval pipelines,Craig Macdonald (University of Glasgow)
Dynamic Composition of Question Answering Pipelines with Frankenstein,Kuldeep Singh (Fraunhofer); Ioanna Lytra (University of Bonn); Arun Sethupat Radhakrishna (University of Minnesota); Akhilesh Vyas (Fraunhofer); Maria Esther Vidal (TIB)
A System for Efficient High-Recall Retrieval,Mustafa Abualsaud (University of Waterloo); Nimesh Ghelani (University of Waterloo); Haotian Zhang (University of Waterloo); Mark Smucker (University of Waterloo); Gordon Cormack (University of Waterloo); Maura Grossman (University of Waterloo)
HyPlag: A Hybrid Approach to Academic Plagiarism Detection,"Norman Meuschke (University of Konstanz); Vincent Stange (University of Konstanz); Moritz Schubotz (University of Konstanz); Bela Gipp (UC Berkeley, California and University of Konstanz)"
RecAdvisor: Criteria-based Ph.D. Supervisor Recommendation,Mir Anamul Hasan (Florida State University); Daniel G. Schwartz (Florida State University)
Minority Report by Lemur: Supporting Search Engine with Virtual Reality,Andrew Jie Zhou (Georgetown University); Grace Hui Yang (Georgetown University)
Hide-n-Seek: An Intent-aware Privacy Protection Plugin for Personalized Web Search,"Puxuan Yu (Wuhan University); Wasi Ahmad (University of California, Los Angeles); Hongning Wang (University of Virginia)"
Merchandise Recommendation For Retail Events With Word Embedding Weighted Tf-idf And Dynamic Query Expansion,Ted Yuan(eBay); Zezhong Zhang(eBay)
Product Question Answering Using Customer Generated Content – Research Challenges,David Carmel (Amazon Research); Liane Lewin-Eytan (Amazon Research); Yoelle Maarek (Amazon Research)
Auto-completion for Question Answering Systems at Bloomberg,Konstantine Arkoudas (Bloomberg); Mohamed Yahya (Bloomberg);
Talent Search and Recommendation Systems at LinkedIn: Practical Challenges and Lessons Learned,Sahin Geyik (LinkedIn); Qi Guo (LinkedIn); Bo Hu (LinkedIn); Cagri Ozcaglar (LinkedIn); Ryan Wu (LinkedIn); Krishnaram Kenthapadi (LinkedIn)
The Evolution of Content Analysis for Personalized Recommendations at Twitter,Ajeet Grewal (Twitter); Jimmy Lin (University of Waterloo)
Large Scale Search Engine Marketing (SEM) at Airbnb,"Ganesh Venkataraman (Airbnb), James Wong (Airbnb); Brendan Collins (Airbnb)"
Clova: Services and Devices powered by AI,Inho Kang (NAVER Corporation )
Puneet Agrawal and Manoj Kumar Chinnakotla. Lessons from Building a Large-scale Commercial IR-based Chatbot for an Emerging Market,Puneet Agrawal (Microsoft); Manoj Kumar Chinnakotla (Microsoft)
LessonWare: Mining Student Notes to Provide Personalized Feedback,Perry Samson(Echo360 Inc.); Charles Bassam (Echo360 Inc.)
Machine Learning @ Amazon,Rajeev Rastogi (Amazon)
Extracting Real-Time Insights from Graphs and Social Streams,Charu C. Aggarwal (IBM Research)
Exploring Potential Pathways to Address Bias and Ethics in IR,Steven Zimmerman (University of Essex)
SmartTable: Equipping Spreadsheets with Intelligent Assistance Functionalities,Shuo Zhang (University of Stavanger)
Efficiency-Effectiveness Trade-Offs in Machine Learned Models for Information Retrieval,Luke Gallagher (RMIT University)
Case-Based Retrieval Using Document-Level Semantic Networks,Stefano Marchesin (University of Padova)
Utilizing Inter-Passage Similarities for Focused Retrieval,Eilon Sheetrit (Israel Institute of Technology)
Enhanced Contextual Recommendation using Social Media Data,Anirban Chakraborty (Trinity College Dublin)
A Semantic Search Approach to Task-Completion Engines,Darío Garigliotti (University of Stavanger)
Addressing the Standing Information Needs of Users Focused on Current Events,Kristine Rogers (University of Maryland)
Improving Systematic Review Creation With Information Retrieval,Harrisen Scells (Queensland University of Technology)
Design and Evaluation of Query Auto Completion Mechanisms,Unni Krishnan (The University of Melbourne)
Better Textbooks with Human Language Technology,Sudeshna Das (IIT Kharagpur)
CHEERS: CHeap & Engineered Evaluation of Retrieval Systems,Kevin Roitero (University of Udine)